timecode,seconds,lat,lat_dir,lon,lon_dir,sensor,trigger_num,trigger_time_small,matched_time_large,match_time_diff,relative_row,relative_time
260330_201700_200,73020.203,4159.9844,N,8739.4414,W,343,1,73020,73020.0,0.0,2,0.20299999999406282
260330_201700_300,73020.297,4159.9844,N,8739.4414,W,347,1,73020,73020.0,0.0,3,0.2970000000059372
260330_201700_400,73020.398,4159.9844,N,8739.4414,W,347,1,73020,73020.0,0.0,4,0.39800000000104774
260330_201700_500,73020.5,4159.9844,N,8739.4414,W,346,1,73020,73020.0,0.0,5,0.5
260330_201700_600,73020.602,4159.9844,N,8739.4414,W,347,1,73020,73020.0,0.0,6,0.6019999999989523
260330_201700_700,73020.703,4159.9844,N,8739.4414,W,349,1,73020,73020.0,0.0,7,0.7029999999940628
260330_201655_700,73015.703,4159.9844,N,8739.4414,W,212,2,73140,73020.703,119.29700000000594,-50,-5.0
260330_201655_800,73015.797,4159.9844,N,8739.4414,W,210,2,73140,73020.703,119.29700000000594,-49,-4.905999999988126
260330_201655_900,73015.898,4159.9844,N,8739.4414,W,209,2,73140,73020.703,119.29700000000594,-48,-4.804999999993015
260330_201656_000,73016.0,4159.9844,N,8739.4414,W,209,2,73140,73020.703,119.29700000000594,-47,-4.702999999994063
260330_201656_100,73016.102,4159.9844,N,8739.4414,W,211,2,73140,73020.703,119.29700000000594,-46,-4.600999999995111
260330_201656_200,73016.203,4159.9844,N,8739.4414,W,214,2,73140,73020.703,119.29700000000594,-45,-4.5
260330_201656_300,73016.297,4159.9844,N,8739.4414,W,218,2,73140,73020.703,119.29700000000594,-44,-4.405999999988126
260330_201656_400,73016.398,4159.9844,N,8739.4414,W,222,2,73140,73020.703,119.29700000000594,-43,-4.304999999993015
260330_201656_500,73016.5,4159.9844,N,8739.4414,W,224,2,73140,73020.703,119.29700000000594,-42,-4.202999999994063
260330_201656_600,73016.602,4159.9844,N,8739.4414,W,224,2,73140,73020.703,119.29700000000594,-41,-4.100999999995111
260330_201656_700,73016.703,4159.9844,N,8739.4414,W,223,2,73140,73020.703,119.29700000000594,-40,-4.0
260330_201656_800,73016.797,4159.9844,N,8739.4414,W,223,2,73140,73020.703,119.29700000000594,-39,-3.9059999999881256
260330_201656_900,73016.898,4159.9844,N,8739.4414,W,223,2,73140,73020.703,119.29700000000594,-38,-3.804999999993015
260330_201657_000,73017.0,4159.9844,N,8739.4414,W,222,2,73140,73020.703,119.29700000000594,-37,-3.702999999994063
260330_201657_100,73017.102,4159.9844,N,8739.4414,W,222,2,73140,73020.703,119.29700000000594,-36,-3.6009999999951106
260330_201657_200,73017.203,4159.9844,N,8739.4414,W,221,2,73140,73020.703,119.29700000000594,-35,-3.5
260330_201657_300,73017.297,4159.9844,N,8739.4414,W,221,2,73140,73020.703,119.29700000000594,-34,-3.4059999999881256
260330_201657_400,73017.398,4159.9844,N,8739.4414,W,220,2,73140,73020.703,119.29700000000594,-33,-3.304999999993015
260330_201657_500,73017.5,4159.9844,N,8739.4414,W,219,2,73140,73020.703,119.29700000000594,-32,-3.202999999994063
260330_201657_600,73017.602,4159.9844,N,8739.4414,W,202,2,73140,73020.703,119.29700000000594,-31,-3.1009999999951106
260330_201657_700,73017.703,4159.9844,N,8739.4414,W,202,2,73140,73020.703,119.29700000000594,-30,-3.0
260330_201657_800,73017.797,4159.9844,N,8739.4414,W,205,2,73140,73020.703,119.29700000000594,-29,-2.9059999999881256
