timecode,lat,lat_dir,lon,lon_dir,sensor
260324_015344_800,4159.9277,N,8739.6211,W,209
260324_015345_000,4159.9297,N,8739.6201,W,209
260324_015345_100,4159.9297,N,8739.6201,W,209
260324_015345_200,4159.9297,N,8739.6201,W,209
260324_015345_300,4159.9297,N,8739.6201,W,209
260324_015345_400,4159.9297,N,8739.6201,W,209
260324_015345_500,4159.9297,N,8739.6201,W,209
260324_015345_600,4159.9297,N,8739.6201,W,209
260324_015345_700,4159.9297,N,8739.6201,W,209
260324_015345_800,4159.9297,N,8739.6201,W,209
260324_015345_900,4159.9297,N,8739.6201,W,209
260324_015346_000,4159.9307,N,8739.6191,W,209
260324_015346_100,4159.9307,N,8739.6191,W,209
260324_015346_200,4159.9307,N,8739.6191,W,209
260324_015346_300,4159.9307,N,8739.6191,W,209
260324_015346_400,4159.9307,N,8739.6191,W,209
260324_015346_500,4159.9307,N,8739.6191,W,209
260324_015346_600,4159.9307,N,8739.6191,W,209
260324_015346_700,4159.9307,N,8739.6191,W,209
260324_015346_800,4159.9307,N,8739.6191,W,209
260324_015346_900,4159.9307,N,8739.6191,W,209
260324_015347_000,4159.9321,N,8739.6182,W,209
260324_015347_100,4159.9321,N,8739.6182,W,209
260324_015347_200,4159.9321,N,8739.6182,W,209
260324_015347_300,4159.9321,N,8739.6182,W,209
260324_015347_400,4159.9321,N,8739.6182,W,209
260324_015347_500,4159.9321,N,8739.6182,W,209
260324_015347_600,4159.9321,N,8739.6182,W,209
260324_015347_700,4159.9321,N,8739.6182,W,209
260324_015347_800,4159.9321,N,8739.6182,W,209
260324_015347_900,4159.9321,N,8739.6182,W,209
260324_015348_000,4159.9326,N,8739.6182,W,209
260324_015348_100,4159.9326,N,8739.6182,W,209
260324_015348_200,4159.9326,N,8739.6182,W,209
260324_015348_300,4159.9326,N,8739.6182,W,209
260324_015348_400,4159.9326,N,8739.6182,W,209
260324_015348_500,4159.9326,N,8739.6182,W,209
260324_015348_600,4159.9326,N,8739.6182,W,209
260324_015348_700,4159.9326,N,8739.6182,W,209
260324_015348_800,4159.9326,N,8739.6182,W,209
260324_015348_900,4159.9326,N,8739.6182,W,209
260324_015349_000,4159.9336,N,8739.6182,W,209
260324_015349_100,4159.9336,N,8739.6182,W,209
260324_015349_200,4159.9336,N,8739.6182,W,209
260324_015349_300,4159.9336,N,8739.6182,W,209
260324_015349_400,4159.9336,N,8739.6182,W,209
260324_015349_500,4159.9336,N,8739.6182,W,209
260324_015349_600,4159.9336,N,8739.6182,W,209
260324_015349_700,4159.9336,N,8739.6182,W,209
260324_015349_800,4159.9336,N,8739.6182,W,209
260324_015349_900,4159.9336,N,8739.6182,W,209
260324_015350_000,4159.9351,N,8739.6172,W,209
260324_015350_100,4159.9351,N,8739.6172,W,209
260324_015350_200,4159.9351,N,8739.6172,W,209
260324_015350_300,4159.9351,N,8739.6172,W,209
260324_015350_400,4159.9351,N,8739.6172,W,209
260324_015350_500,4159.9351,N,8739.6172,W,209
