timecode,lat,lat_dir,lon,lon_dir,sensor
260324_221514_900,4200.1187,N,8739.4482,W,212
260324_221515_000,4200.1162,N,8739.4473,W,211
260324_221515_100,4200.1162,N,8739.4473,W,211
260324_221515_200,4200.1162,N,8739.4473,W,211
260324_221515_300,4200.1162,N,8739.4473,W,210
260324_221515_400,4200.1162,N,8739.4473,W,210
260324_221515_500,4200.1162,N,8739.4473,W,210
260324_221515_600,4200.1162,N,8739.4473,W,209
260324_221515_700,4200.1162,N,8739.4473,W,209
260324_221515_800,4200.1162,N,8739.4473,W,209
260324_221515_900,4200.1162,N,8739.4473,W,209
260324_221516_000,4200.1133,N,8739.4463,W,209
260324_221516_100,4200.1133,N,8739.4463,W,209
260324_221516_200,4200.1133,N,8739.4463,W,209
260324_221516_300,4200.1133,N,8739.4463,W,209
260324_221516_400,4200.1133,N,8739.4463,W,208
260324_221516_500,4200.1133,N,8739.4463,W,208
260324_221516_600,4200.1133,N,8739.4463,W,208
260324_221516_700,4200.1133,N,8739.4463,W,208
260324_221516_800,4200.1133,N,8739.4463,W,208
260324_221516_900,4200.1133,N,8739.4463,W,208
260324_221517_000,4200.1113,N,8739.4453,W,208
260324_221517_100,4200.1113,N,8739.4453,W,208
260324_221517_200,4200.1113,N,8739.4453,W,208
260324_221517_300,4200.1113,N,8739.4453,W,208
260324_221517_400,4200.1113,N,8739.4453,W,208
260324_221517_500,4200.1113,N,8739.4453,W,208
260324_221517_600,4200.1113,N,8739.4453,W,208
260324_221517_700,4200.1113,N,8739.4453,W,208
260324_221517_800,4200.1113,N,8739.4453,W,208
260324_221517_900,4200.1113,N,8739.4453,W,208
260324_221518_000,4200.1074,N,8739.4443,W,208
260324_221518_100,4200.1074,N,8739.4443,W,208
260324_221518_200,4200.1074,N,8739.4443,W,208
260324_221518_300,4200.1074,N,8739.4443,W,208
260324_221518_400,4200.1074,N,8739.4443,W,208
260324_221518_500,4200.1074,N,8739.4443,W,208
260324_221518_600,4200.1074,N,8739.4443,W,208
260324_221518_700,4200.1074,N,8739.4443,W,208
260324_221518_800,4200.1074,N,8739.4443,W,208
